iter	Passed	Remaining
529	80007	70949
530	80248	70878
531	80417	70742
532	80558	70582
533	80703	70426
534	80828	70252
535	80964	70088
536	81110	69933
537	81323	69835
538	81528	69730
539	81713	69607
540	81815	69414
541	82013	69303
542	82164	69151
543	82328	69010
544	82544	68913
545	82737	68796
546	82910	68662
547	83135	68571
548	83304	68434
549	83529	68342
550	83723	68224
551	83890	68085
552	84149	68019
553	84348	67904
554	84492	67746
555	84624	67577
556	84782	67430
557	84918	67264
558	85032	67082
559	85187	66933
560	85347	66787
561	85489	66627
562	85601	66443
563	85741	66282
564	85815	66070
565	85939	65896
566	86050	65713
567	86196	65558
568	86336	65397
569	86468	65230
570	86598	65062
571	86851	64986
572	87018	64846
573	87151	64680
574	87289	64518
575	87526	64429
576	87834	64391
577	88036	64275
578	88319	64218
579	88439	64042
580	88634	63920
581	88925	63867
582	89120	63745
583	89249	63575
584	89375	63403
585	89510	63237
586	89692	63105
587	89859	62962
588	90051	62837
589	90213	62690
590	90350	62526
591	90474	62353
592	90625	62199
593	90746	62025
594	90923	61889
595	91121	61766
596	91280	61617
597	91395	61440
598	91536	61278
599	91651	61100
600	91760	60919
601	91971	60804
602	92185	60692
603	92322	60529
604	92460	60366
605	92602	60206
606	92908	60153
607	93137	60049
608	93407	59970
609	93667	59885
610	94058	59883
611	94365	59826
612	94735	59808
613	94981	59711
614	95165	59574
615	95356	59443
616	95580	59331
617	95811	59223
618	96016	59099
619	96287	59015
620	96575	58940
621	96870	58870
622	97100	58758
623	97369	58671
624	97674	58604
625	97880	58478
626	98037	58321
627	98253	58201
628	98526	58113
629	98772	58009
630	99020	57905
631	99198	57761
632	99360	57607
633	99540	57463
634	99829	57382
635	100050	57261
636	100243	57124
637	100439	56989
638	100622	56846
639	101006	56816
640	101210	56683
641	101516	56608
642	101710	56470
643	101946	56355
644	102110	56200
645	102402	56115
646	102623	55990
647	102821	55853
648	103067	55742
649	103275	55609
650	103533	55504
651	103745	55373
652	103982	55255
653	104178	55115
654	104381	54979
655	104668	54887
656	104878	54753
657	105089	54620
658	105333	54504
659	105498	54347
660	105670	54194
661	105828	54033
662	105981	53870
663	106214	53747
664	106600	53700
665	106805	53563
666	107034	53437
667	107194	53276
668	107354	53115
669	107564	52979
670	107819	52865
671	108024	52726
672	108287	52615
673	108706	52579
674	108911	52438
675	109157	52318
676	109362	52177
677	109528	52017
678	109755	51887
679	110015	51772
680	110231	51635
681	110388	51471
682	110577	51322
683	110768	51173
684	110981	51035
685	111118	50861
686	111282	50700
687	111448	50540
688	111643	50393
689	111877	50263
690	112089	50123
691	112236	49955
692	112410	49797
693	112652	49671
694	113005	49592
695	113183	49436
696	113383	49290
697	113583	49143
698	113808	49007
699	114048	48877
700	114205	48712
701	114361	48546
702	114524	48383
703	114747	48246
704	114958	48103
705	115157	47955
706	115480	47858
707	115797	47758
708	115987	47605
709	116224	47471
710	116553	47375
711	116769	47232
712	117008	47098
713	117224	46955
714	117439	46811
715	117656	46668
716	117820	46503
717	117959	46329
718	118072	46145
719	118353	46026
720	118569	45882
721	118852	45763
722	119032	45604
723	119157	45424
724	119356	45273
725	119551	45119
726	119761	44972
727	120011	44839
728	120306	44722
729	120511	44572
730	120753	44436
731	120958	44285
732	121149	44129
733	121348	43976
734	121571	43831
735	121758	43674
736	121879	43492
737	122053	43330
738	122235	43171
739	122368	42994
740	122653	42870
741	122836	42711
742	123060	42566
743	123352	42443
744	123597	42305
745	123737	42130
746	124005	41999
747	124253	41860
748	124390	41684
749	124534	41511
750	124715	41350
751	124859	41177
752	125042	41016
753	125327	40889
754	125493	40723
755	125652	40554
756	125795	40380
757	125994	40225
758	126120	40046
759	126270	39874
760	126422	39704
761	126683	39567
762	126805	39387
763	126914	39203
764	127022	39019
765	127204	38858
766	127341	38683
767	127466	38505
768	127597	38328
769	127726	38151
770	127842	37971
771	127973	37795
772	128105	37619
773	128238	37444
774	128380	37271
775	128534	37102
776	128637	36919
777	128776	36746
778	128864	36558
779	128993	36382
780	129083	36196
781	129192	36015
782	129322	35840
783	129393	35649
784	129645	35507
785	129738	35323
786	129871	35149
787	130006	34976
788	130148	34805
789	130266	34627
790	130447	34467
791	130609	34301
792	130748	34129
793	130869	33953
794	131016	33784
795	131155	33612
796	131275	33436
797	131432	33269
798	131616	33109
799	131751	32937
800	131884	32765
801	132022	32593
802	132141	32418
803	132251	32240
804	132366	32063
805	132487	31889
806	132609	31714
807	132721	31537
808	132837	31362
809	132973	31191
810	133082	31014
811	133392	30883
812	133693	30751
813	133943	30606
814	134173	30456
815	134365	30298
816	134705	30172
817	135148	30069
818	135369	29916
819	135632	29773
820	135862	29621
821	136059	29463
822	136268	29306
823	136449	29144
824	136753	29008
825	136966	28852
826	137100	28680
827	137248	28510
828	137369	28335
829	137659	28195
830	137903	28045
831	138147	27895
832	138345	27735
833	138589	27584
834	138892	27445
835	139194	27306
836	139396	27146
837	139547	26977
838	139696	26807
839	139825	26633
840	140003	26469
841	140129	26295
842	140252	26120
843	140354	25942
844	140487	25769
845	140622	25598
846	140756	25425
847	140981	25270
848	141192	25111
849	141371	24947
850	141569	24787
851	141849	24640
852	141997	24470
853	142110	24295
854	142498	24166
855	142707	24006
856	142915	23846
857	143249	23708
858	143468	23549
859	143663	23387
860	143952	23239
861	144116	23072
862	144242	22898
863	144479	22742
864	144669	22578
865	144850	22413
866	144970	22238
867	145188	22079
868	145397	21918
869	145618	21759
870	145813	21595
871	145974	21427
872	146136	21259
873	146249	21084
874	146392	20913
875	146554	20745
876	146824	20592
877	146961	20420
878	147115	20251
879	147236	20077
880	147372	19906
881	147494	19732
882	147642	19563
883	147786	19392
884	147936	19223
885	148094	19055
886	148259	18887
887	148378	18714
888	148515	18543
889	148628	18369
890	148759	18198
891	148901	18028
892	149078	17862
893	149205	17690
894	149301	17515
895	149418	17343
896	149534	17170
897	149657	16998
898	149782	16827
899	149912	16656
900	150120	16494
901	150242	16323
902	150407	16156
903	150578	15990
904	150673	15816
905	150779	15643
906	150889	15471
907	151056	15305
908	151287	15145
909	151460	14979
910	151603	14810
911	151743	14641
912	151873	14472
913	152080	14309
914	152328	14150
915	152529	13987
916	152675	13819
917	153006	13667
918	153266	13508
919	153427	13341
920	153565	13172
921	153709	13003
922	153902	12839
923	154103	12675
924	154375	12516
925	154526	12348
926	154673	12180
927	154823	12012
928	154986	11845
929	155132	11676
930	155263	11507
931	155422	11339
932	155685	11179
933	155817	11010
934	156019	10846
935	156155	10677
936	156295	10508
937	156483	10343
938	156605	10173
939	156809	10009
940	156968	9841
941	157094	9672
942	157259	9505
943	157393	9336
944	157664	9176
945	157915	9014
946	158157	8851
947	158351	8685
948	158517	8518
949	158687	8351
950	158906	8187
951	159132	8023
952	159273	7855
953	159489	7690
954	159707	7525
955	159887	7358
956	160089	7193
957	160231	7024
958	160404	6857
959	160534	6688
960	160681	6520
961	160855	6353
962	161027	6186
963	161143	6017
964	161292	5849
965	161568	5686
966	161787	5521
967	161929	5353
968	162058	5184
969	162248	5018
970	162408	4850
971	162561	4682
972	162705	4514
973	162902	4348
974	163128	4182
975	163421	4018
976	163735	3854
977	164012	3689
978	164139	3520
979	164344	3353
980	164480	3185
981	164685	3018
982	164839	2850
983	165007	2683
984	165144	2514
985	165314	2347
986	165493	2179
987	165682	2012
988	165920	1845
989	166046	1677
990	166350	1510
991	166555	1343
992	166718	1175
993	167041	1008
994	167204	840
995	167395	672
996	167699	504
997	167966	336
998	168154	168
999	168305	0
